answer,stims,category
デザート,"['アイスクリーム', 'パフェ', 'ゼリー', 'ケーキ', 'ムース']",仲間
野菜,"['アスパラガス', 'ブロッコリー', 'もやし', 'しいたけ', 'レタス']",仲間
果物,"['いちご', 'スイカ', 'パイナップル', 'ぶどう', 'キウイ']",仲間
野菜,"['ほうれん草', '人参', 'カボチャ', 'こまつな', 'ピーマン']",仲間
麺類,"['そば', 'うどん', 'ラーメン', 'スパゲッティ', 'そうめん']",仲間
野菜,"['大根', '人参', 'じゃがいも', '白菜', 'キャベツ']",仲間
果物,"['りんご', 'バナナ', 'みかん', 'メロン', '桃']",仲間
デザート,"['ケーキ', 'クッキー', 'ゼリー', 'プリン', 'ババロア']",仲間
顔,"['鼻', '口', '目', '眉毛', '耳']",部分
車,"['タイヤ', 'ライト', 'フロントガラス', 'ワイパー', 'ハンドル']",部分
家,"['屋根', '柱', '壁', '窓', 'ベランダ']",部分
身体,"['頭', '腕', '足', '腰', '背中']",部分
赤,"['ポスト', 'りんご', '消防車', 'トマト', 'いちご']",色
黄色,"['バナナ', 'ヒマワリ', 'レモン', 'パイナップル', 'ぎんなん']",色
白,"['雪', 'ウサギ', '塩', '砂糖', '紙']",色
緑,"['葉っぱ', 'ピーマン', 'キュウリ', 'キャベツ', 'アスパラガス']",色
黒,"['髪の毛', '闇', '蟻', '胡麻', '墨']",色
ピンク,"['桜餅', '桃', '桜', 'コスモス', 'フラミンゴ']",色
冬,"['こたつ', '雪山', 'ストーブ', 'コート', '雪だるま']",季節
夏,"['うちわ', '蚊取り線香', 'クーラー', 'かき氷', '海水浴']",季節
秋,"['紅葉', 'お月見', '虫の音', '稲刈り', 'ハロウィン']",季節
公園,"['ブランコ', '滑り台', '砂場', '鉄棒', 'ジャングルジム']",場所
学校,"['理科室', '音楽室', '教室', '家庭科室', '校長室']",場所
野球,"['ボール', 'バット', '審判', 'グローブ', 'ピッチャー']",スポーツ
水泳,"['水着', 'バタフライ', '平泳ぎ', 'クロール', 'バタ足']",スポーツ
バレーボール,"['アタック', 'セッター', 'ボール', 'ネット', 'レシーブ']",スポーツ
サッカー,"['ゴール', 'ボール', '審判', 'レッドカード', 'シュート']",スポーツ
東京都,"['スカイツリー', '皇居', '上野公園', '浅草', '国会議事堂']",都道府県
北海道,"['札幌', '函館', '大雪山', 'キタキツネ', '摩周湖']",都道府県
長野県,"['善光寺', '諏訪湖', '日本アルプス', 'りんご', '野沢菜']",都道府県
長崎県,"['ちゃんぽん', '平戸', '原爆資料館', 'カステラ', 'グラバー邸']",都道府県
沖縄県,"['泡盛', '首里城', '琉球', '那覇', 'シーサー']",都道府県
静岡県,"['富士山', '浜名湖', '茶畑', 'みかん', 'うなぎ']",都道府県
青森県,"['りんご', '津軽三味線', 'ねぶた祭り', '十和田湖', '津軽海峡']",都道府県
愛知県,"['金のしゃちほこ', '味噌カツ', 'きしめん', '名古屋コーチン', 'ひつまぶし']",都道府県
イギリス,"['ロンドン橋', 'ビッグベン', 'エリザベス女王', 'ポンド', 'フィッシュアンドチップス']",国
アメリカ,"['自由の女神', '大統領', 'ワシントン', 'カリフォルニア', 'ミシシッピー川']",国
エジプト,"['ピラミッド', 'クフ王', 'ナイル川', '砂漠', 'ラクダ']",国
オーストラリア,"['シドニー', 'カンガルー', 'コアラ', 'アデリーペンギン', 'エアーズロック']",国
お正月,"['門松', '羽根つき', '雑煮', 'お年玉', '年賀状']",行事
お盆,"['お供え', 'お墓', 'お線香', '里帰り', '送り火']",行事
クリスマス,"['ケーキ', 'サンタクロース', 'ツリー', '靴下', 'プレゼント']",行事
カレー,"['じゃがいも', '人参', '肉', 'たまねぎ', 'ルウ']",メニュー
